name,grade,climb_angle,climb_style,description
Finish Line,4,overhanging,steep,"Cave problem, all overhang and good quality rock once passed the jugs. Since your in a cave you have shade through out the day, but the sun hits the last few holds on the cave during midday. Never sees action since its a new route, you will however see trad climbers above you, which is always a plus. Hiker below you but never stray from the trail. On windy days can be bad, the wind pushes everything through the tunnel and sand in your eyes. Rated at a v4/5, Aaron Scruggs believe to have gotten the first ascent in May. I, Andrew La Combe got the 2nd. Both of us put time into working the problem with sand and rock crumbling, now its a solid line for anyone who want a cave problem with low fall."
Ultraviolet,8,vertical,face,"Sit start on the arete and climb straight up, eventually breaking right to top out."
The Purist,3,vertical,face,Begin in a sit start matched on a good crimp rail near the base of the arete. Climb up to the right of the arete using crimps while bumping your left hand up the knife edge.
Nautilus,6,overhanging,dyno,Sit start using a solid 3-finger pocket for the left hand and a right hand pinch. Throw to a decent gaston followed by a few intermediate bumps on shallow crimps before moving to the lip. Top out finish is the same as Weigh Anchor.
Central Perk,2,overhanging,traverse,"Sit or stand start on the column-like right arete of the backside of the boulder. Staying low, traverse to the left and across the face of the boulder. Finish by climbing up the thin chimney (same as Back left V0)."
Beastress,1,overhanging,mantle,"Sit start hand matched on the sharp, south east arete. Work leftwards, moving through two swooping rails with the left hand and slapping along the lip with the right. Tricky mantel finish where the top flattens out.."
Boba Junkies,5,vertical,face,"Sit start with hands matched, on the lowest sloping crimp of the arete. Climb up leftwards through slight edges. Devious."
The Pork Chop,3,vertical,face,Stand start the right arête. Climb up and right til you can reach the left arête. Top out at the apex
Mr Moran,7,overhanging,mantle,Sit start on the flake below the lip. Move up to lip and traverse right. Difficult mantle
Jack of all Trades,5,vertical,face,Start matched on a decent crimp. Move up and left into an awesome pinch feature. Continue left to the arête and top out just left of the apex.
Americana Exotica,10,vertical,face,Start standing on undercling at chest level.  Climb through several difficult moves on underclings until reaching jugs around 10 feet or so up.  Follow easier terrain to the top.
Lethal Design,12,overhanging,technical,Super classic Red Rocks V12 with 25+ hand moves. Boulder itself is very crimpy and full of high tension moves. Spicy topout.
Cremaster,3,overhanging,steep,"Probably the steepest V3 in the area. Begin on huge underclings in the roof with decent feet. Make long reaches through the roof and pull over the lip on crimps and eventually good pockets. Awkward, tiered landing."
Memento Mori,4,vertical,face,Sit start with a rad fin feature which is follow up and left through sopey slopers to a semi varnished face. Tall but with comparatively easy top out
Memento Vitae,5,vertical,face,"Sit start, move up with a big move to a beautiful 2 finger pocket, pull a couple more moves and then onto a reasonable top out. Sloped landing. Tall, but all moves at any height are easier."
Bitch Slap 5,9,overhanging,steep,"Start at the bottom of the cave, work crimps to the lip, to an easy top out!"
Blood Trails,5,vertical,face,"Starting with the two crimps, climb the arete to the top. This boulder gets beat by the sun all day so it's recommended to hit it early morning while the rock is still cool. Climbing this thing on a hot day can feel impossible. Wait for the good temps."
Drunken Monkey,7,overhanging,steep,"One of the better boulder problems at Oak Creek.  Aesthetic moves out the edge of a large roof lead to a deadpoint to a jug, and an easy topout follows.  Start on a sloping undercling under the roof and a good disk on the arete.    While the Southern Nevada Bouldering book gives this problem a V9, I don't think it is even an 8; it is probably a bit easier than Bubble Butt in the Krafts."
American Dream,3,overhanging,face,"A classic highball with big moves on generally good holds. Start with hands at chest height, work up and slightly left to a reasonable top out."
Rotator Cuff,3,vertical,crack,"A tall, committing line up the center of the SE face of the boulder. Start on good holds at head height and make tough moves up the crack to the big flake. Continue up the flake to the top out."
Lunar right,4,vertical,technical,Classic problem with back and forth side pulls and small tenuous feet with climbing that gradually gets harder.
Tilt Shift,9,vertical,technical,"Sit-start on obvious low feature with left heelhook and crimps. Move up to the rail and continue to the top. Might be a little soft but don't get caught up in the grade, this is an amazing problem."
All Nightmare Long,6,vertical,face,"Begin in a sit start at the bottom left of the main face and work your way up and right, through a crux pocket move, all the way to the far upper right corner of the boulder."
Any Port in a Storm,2,vertical,face,Stand start on a large sloping rail. Ascend an intermittent seam up and left to the top out.
Get Burnt,7,overhanging,dyno,"A dyno problem on surprisingly grippy rock. The crux is not so much the throw, but holding the body tension required to stick the hold. Start on the obvious jug, move up into the crimp and throw for the lip."
Wet Dream Right,11,overhanging,steep,"Probably one of the best boulder problems in Red Rock in my opinion. Crux is the opening moves. Sit start on two rounded crimps, moving up and right to better holds. At one point you get a sweet two finger lock to bump your other hand up to the lip. A V9 variation of Wet Dream Right can be done stand start on the jug. Bring plenty of pads for this one."
Natasha's Highball,2,vertical,crack,Stand start on broken flakes on the left side of the face. Climb up through edges and and inset crack features. Skirt left up high to top out.
The Little V4,4,overhanging,steep,"Sit start and work up using slopers and some compression, top out. Fun movement for such a short bloc."
The Fountainhead,9,overhanging,mantle,Stand start to Atlas shrugged. Start with left hand on lowest sidepull and right hand compressing on block like feature. Work up using arete and crimps to the mantle.
